path,filename,kind,interface_layers,boundary_layers,reset,trial,file_size_bytes
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL7.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL7.json,reduced,1,1,False,7,31441417
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL8.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL8.json,reduced,1,1,False,8,31444037
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL9.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL1-TRIAL9.json,reduced,1,1,False,9,31450265
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL1.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL1.json,reduced,1,2,True,1,31382718
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL10.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL10.json,reduced,1,2,True,10,31383163
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL2.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL2.json,reduced,1,2,True,2,31397508
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL3.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL3.json,reduced,1,2,True,3,31332890
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL4.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL4.json,reduced,1,2,True,4,31397306
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL5.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL5.json,reduced,1,2,True,5,31351690
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL6.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL6.json,reduced,1,2,True,6,31387497
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL7.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL7.json,reduced,1,2,True,7,31414028
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL8.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL8.json,reduced,1,2,True,8,31372804
/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL9.json,pinn-history-2d-alloy-neumann-reduced-IL1-BL2-RESET-TRIAL9.json,reduced,1,2,True,9,31449539
