interface_layers,boundary_layers,reset,trial,full_path,full_file_size_bytes,reduced_path,reduced_file_size_bytes
3,3,False,8,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-TRIAL8.json,31408661,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-TRIAL8.json,31312951
3,3,False,9,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-TRIAL9.json,31409453,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-TRIAL9.json,31226548
3,3,False,10,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-TRIAL10.json,31409944,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-TRIAL10.json,31376425
3,3,True,1,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL1.json,31409954,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL1.json,31431273
3,3,True,2,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL2.json,31408943,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL2.json,31430461
3,3,True,3,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL3.json,31412416,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL3.json,31069773
3,3,True,4,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL4.json,31409704,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL4.json,31266438
3,3,True,5,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL5.json,31408857,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL5.json,31172523
3,3,True,6,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL6.json,31412288,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL6.json,31435285
3,3,True,7,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL7.json,31410258,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL7.json,31432581
3,3,True,8,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL8.json,31410324,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL8.json,31159208
3,3,True,9,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL9.json,31411239,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL9.json,31074690
3,3,True,10,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-full-IL3-BL3-RESET-TRIAL10.json,31411341,/export/data01/scratch2/mohan227/multiscale_pinn/pinn_history/pinn-history-2d-alloy-neumann-reduced-IL3-BL3-RESET-TRIAL10.json,31162279
